1;BANDEJA PAISA;25000;Con frijol, Arroz, Chicharron, Chorizo, Huevo frito, Arepa, Rellena, Aguacate y tajadas;https://cdn.colombia.com/gastronomia/2011/08/02/bandeja-paisa-1616.gif;DESAYUNOS
2;BANDEJA VALLUNA;15000;Con frijol, Arroz, Chorizo, Arepa, Chuleta de cerdo y tajadas;https://recetinas.com/wp-content/uploads/2022/11/changua.jpg;ALMUERZOS
3;CONSOME;10000;Sopa de pollo con papa;https://d1kxxrc2vqy8oa.cloudfront.net/wp-content/uploads/2019/06/07121430/RFB-3005-3-consomedepollo.jpg;CENA
4;AJIACO;12500;El ajiaco suele incluir mazorcas de maíz tierno, y opcionalmente crema de leche y alcaparras encurtidas.;https://cloudfront-us-east-1.images.arcpublishing.com/elespectador/ACTGX62CF5BRRFEZ6LCPDRWYMM.jpg;DESAYUNOS
5;TAMAL TOLIMENSE;9800;El relleno en este tamal es de pollo, tocino de cerdo, costillas de cerdo, huevo cocinado, zanahoria, arvejas, papas, arroz, condimentos y masa, todo envuelto con hojas de plátano;https://tofuu.getjusto.com/orioneat-local/resized2/K3SnTmYCwGFPkGuyZ-1200-1200.webp;ALMUERZOS
6;BANDEJA MOJARRA;35200;Arroz, patacon, ensala y mojarra frita;https://img-global.cpcdn.com/recipes/b06a88667f4923e6/400x400cq70/photo.jpg;CENA
7;CALENTAO PAISA;18900; frijoles del día anterior, mezclados con arroz, carne y huevo frito. En algunas ocasiones, le añaden plátano maduro.;https://www.eltiempo.com/files/article_multimedia/uploads/2018/05/11/5af5b40987a0b.jpeg;DESAYUNOS
8;AREPA DE MAIZ;8350;Arepa de arina de maiz seco con algunas especias, ideal para el desayuno con una aguadepanela;https://www.pequeocio.com/wp-content/uploads/2022/04/arepas-colombianas.jpg;DESAYUNOS
9;AGUAPANELA;6500; refrescante, energizante y al mismo tiempo, un “remedio” casero para aliviar los días de resfriado. Se prepara con panela, agua y en algunas ocasiones, con zumo de limón;https://vecinavegetariana.com/wp-content/uploads/2022/04/Aguapanela-Colombiana-3-2.jpeg;BEBIDAS
10;BUÑUELOS;3500;redondos y dorados son mostrados mientras recorren las barras de acero inoxidable de más de un establecimiento en Colombia;https://vecinavegetariana.com/wp-content/uploads/2021/12/Bunuelos-Colombianos-Colombian-Bunuelos-3-1.jpg;DESAYUNOS
11;CHAMPUS;4500; melado de panela, maíz y frutas locales como: lulo, piña o guanábana, clavos de olor y canela al gusto;https://i.pinimg.com/550x/c2/09/84/c20984df595bb46ae2e7e565d042f7f1.jpg;BEBIDAS
12;CHOCOLATE CON QUESO;7600;un combo extraño para los extranjeros, pero amado por los locales en Bogotá;https://www.unacolombianaencalifornia.com/wp-content/uploads/2018/12/Chocolate-con-queso-colombiano.jpg;DESAYUNOS
13;CHANGUA;12600;este caldo preparado con cebolla, cilantro, huevo, leche y sal, que desata tanto amores como odios;https://www.lechedeflorida.com/core/fileparse.php/267/urlt/changua.jpg;ALMUERZOS
14;CHICHA;6200; A base de maíz fermentado con azúcar;https://boquisabroso.com.co/wp-content/uploads/2023/02/Receta-de-Chicha-de-Maiz.jpg;BEBIDAS
15;MASATO;6200;una bebida de arroz fermentada con canela llega casi al final de esta lista de sorpresas gastronómicas;https://www.mycolombianrecipes.com/wp-content/uploads/2013/09/Masato.jpg;BEBIDAS
16;CALDO DE COSTILLA;9600;claramente se referían al caldo de costilla, un plato clásico sobre todo de Bogotá y Cundinamarca;https://www.comedera.com/wp-content/uploads/2021/04/sopa-de-costilla_shutterstock_1858869487.jpg;ALMUERZOS
17;REFAJO;15600;una bebida que resulta al combinar cerveza con gaseosa, generalmente de sabor kola roja o con la famosa ‘Colombiana’;https://media.viajando.travel/p/60b8ac2616ddbfe59c02827974e9095d/adjuntos/236/imagenes/000/477/0000477367/412x232/smart/bebidas-colombianas.png;BEBIDAS
18;FRUTAS CON TOSTADAS;9450;frutas como granadilla, higos, chirimoya, guayaba, curuba, gulupa, tomate de árbol, lulo, badea y mangostino;https://www.elespectador.com/resizer/K5J5MSsRcH9-oJjoMdewk4F7uyA=/arc-anglerfish-arc2-prod-elespectador/public/Q2CIAOSJXNHLPFKPXLZONHNIXI.jpg;DESAYUNOS
19;LECHONA;13600;es una mezcla de garbanzos, carne de cerdo, especias y ocasionalmente arroz;https://www.mycolombianrecipes.com/wp-content/uploads/2010/06/Receta-de-Lechona-Tolimense.jpg;CENA
20;SABAJON;12400;Es un licor a base de aguardiente, muy popular por su sabor dulce y cremoso, debido a que incluye: leche, yema de huevo, leche condensada y canela;https://elcampesino.co/wp-content/uploads/2016/04/3-7.jpg;BEBIDAS
21;SANCOCHO;13650;contiene yuca, maíz, papas y plátano, y por lo general se sirve junto con arroz blanco;https://cdn.kiwilimon.com/brightcove/7752/7752.jpg;ALMUERZOS
22;FRITANGA;13800;contiene una variedad de carnes a la parrilla (pollo, carne de res, chicharrón de cerdo, chorizo) ;https://cdn.colombia.com/gastronomia/2016/06/21/picada-colombiana-2990.jpg;CENA
23;CUCHUCO;9400;contiene maíz, cebada, puré de frijoles, guisantes, zanahorias, papas, cilantro y ajo.;https://www.pcrm.org/sites/default/files/cuchuco-cebada-perlada18.jpg;ALMUERZOS
24;SUDADO DE POLLO;14800;Este plato contiene pollo (a menudo patas), que se hierven con patatas, cebollas, tomates y pimientos rojos, y se sirve típicamente con arroz.;https://www.comedera.com/wp-content/uploads/2021/07/sudado-de-pollo.jpg;CENA
25;CAZUELA DE MARISCOS;40780;Es un guiso a base de leche de coco que contiene verduras, especias, camarones, langosta, camarones, ostras, calamares y otras variedades de pescado.;https://www.196flavors.com/wp-content/uploads/2018/11/cazuela-de-mariscos-2-FP.jpg;CENA